Date,HRMM  Sec,Latitud,Longitud,Depth,Mc,Ml   Mb
2019 0718,1246 15.6,19.516,-70.2,20.2,3.1,2.5
2019 0718,1554 42.9,18.811,-70.577,12.1,3.1,2.6
2019 0718,1941 19.1,18.479,-68.887,148.8,3,2.3
2019 0718,2132 53.2,18.281,-68.942,93.3,3.4,2.9
2019 0718,2236 35.1,18.418,-70.409,23.1,2.7,2.2
2019 0718,2250 42.3,20.001,-70.461,11.9,3.3,2.6
2019 0718,2337 26.3,18.437,-69.028,106.4,3.1,2.5
2019 0719,0011 11.4,19.4,-67.825,18,3.4,2.4
2019 0719,0056 54.7,19.103,-69.553,20.9,3.3,2.8
2019 0719,0124 45.0,17.204,-68.48,130.7,3.5,
2019 0719,0429 47.6,18.284,-68.985,101.2,3.2,2.2
2019 0719,0506 29.6,17.517,-69.581,87.2,3.3,2.2
2019 0719,0658 23.1,20.19,-70.899,23,3.3,2.7
2019 0719,1137 44.3,18.389,-68.767,152.8,3.3,2.6
2019 0719,1221 19.4,18.872,-69.828,96.2,3.2,3
2019 0719,2334 15.0,18.593,-68.949,110.2,3.4,2.8
2019 0720,0320 49.0,20.057,-72.975,26.9,3.5,3.4
2019 0720,0908 17.0,18.554,-69.484,99.6,2.9,2.5
2019 0720,1012 50.8,18.164,-65.413,0,3.2,2.5
2019 0720,1759 49.1,18.538,-66.333,85.9,2.8,
2019 0720,2013 50.9,19.245,-70.525,22.8,2.6,2.1
2019 0720,2132 47.5,19.107,-68.592,12.1,3.1,2.2
2019 0720,2153 31.7,19.044,-69.577,32.6,2.5,2
2019 0720,2340 29.8,18.097,-68.508,51.3,3.1,2.1
2019 0721,0114  2.4,18.879,-69.2,93.1,3,2.6
2019 0721,0137 11.3,18.535,-70.4,24.5,3,1.9
2019 0721,0338  0.6,18.92,-68.164,22.8,3.3,2.4
2019 0721,0756 56.1,17.555,-70.45,41.4,3.3,2.6
2019 0721,1041 24.4,18.122,-68.34,89.2,3.3,2
2019 0721,1323 11.8,18.245,-65.323,0,3.3,
2019 0721,1714 26.7,19.443,-67.79,23.3,3.2,2.7
2019 0722,0648 22.5,18.521,-68.962,148.2,3.2,2.4
2019 0722,0910 59.5,19.134,-69.076,23,3,
2019 0722,0944 44.0,18.554,-69.196,124.1,3.5,3.2
2019 0722,1059 36.6,18.942,-70.458,23,3.5,3.3
2019 0722,1810 52.8,18.412,-68.793,141.3,3.2,2.6
2019 0723,0022 20.1,18.405,-68.904,158.2,3.1,2.6
2019 0723,0436 18.4,18.302,-67.204,53.1,2.4,1.5
2019 0723,0527 37.8,17.398,-71.83,22.8,3.1,2.2
2019 0723,0537 27.2,19.222,-71.263,120.5,2.9,2.2
2019 0723,0825 41.9,18.447,-67.3,13.2,2.7,1.7
2019 0723,1128  8.8,18.719,-69.545,118.4,2.9,2.9
2019 0723,1923 46.1,17.646,-69.98,62,3.1,2.2
2019 0724,0528 50.5,19.284,-69.846,16.5,2.7,1.9
2019 0724,0636 43.7,19.053,-66.767,23,3.3,2.1
2019 0724,0930 10.1,18.234,-68.067,129.4,3.1,2.3
2019 0724,1022 31.0,18.058,-68.368,111.8,3,2.1
2019 0724,1053 57.7,19.58,-70.055,13,3.2,2.7
2019 0724,1858 54.9,18.539,-68.316,51.9,3.1,2.2
2019 0724,2050 21.2,17.969,-71.402,27.4,2.7,1.8
2019 0724,2243 36.2,19.013,-68.696,23.1,3.1,2.3
2019 0724,2255 15.5,19.551,-69.443,22.4,3.1,1.9
2019 0725,0730 12.4,19.667,-70.685,32.1,3.1,1.8
2019 0725,0859 22.8,18.541,-71.242,15,2.9,1.5
2019 0725,1136 21.8,18.527,-69.154,97.4,3.4,2.9
2019 0725,1209 29.9,18.203,-72.035,22.6,2.7,2.1
2019 0726,0005 52.4,19.18,-68.257,92.2,3.2,1.8
2019 0726,0505 36.0,18.927,-66.941,19.7,3.1,1.7
2019 0726,0646 23.9,19.358,-68.146,21.6,3.4,2.1
2019 0726,0710 17.7,18.077,-69.051,71,3.4,2.2
2019 0726,0954 38.7,18.997,-70.348,31,3.1,2.4
2019 0726,1338 46.5,18.065,-67.117,36,2.5,2
2019 0726,1917 22.2,18.585,-66.946,19.9,3,2.4
2019 0727,0010 29.9,18.523,-69.757,61.8,3.4,2.9
2019 0727,0044 26.4,18.422,-71.705,22.9,2.7,1.6
2019 0727,0425  2.2,18.427,-68.623,22.7,3.6,3.4
2019 0727,0550 35.8,17.931,-72.351,15,3,2.3
2019 0727,0627  0.2,18.755,-70.821,12.1,2.6,1.9
2019 0727,0959 51.1,18.252,-68.891,154.4,3.1,2.5
2019 0727,1702 34.0,19.772,-71.809,23,3.1,2.4
2019 0727,2209 12.2,18.655,-67.014,29.7,2.7,2.2
2019 0728,0436 48.3,18.259,-70.431,23.1,2.9,2.2
2019 0728,0718 38.1,19.817,-71.523,0,3,1.7
2019 0728,0741 26.9,18.795,-70.355,98.1,3.1,2.6
2019 0728,1602 12.2,18.488,-69.011,148.6,4.3,4.9
2019 0728,1613 18.1,18.508,-69.005,152.8,3.8,3.8
2019 0729,0324  8.4,18.476,-64.595,15,3.6,
2019 0729,0349  6.6,18.009,-68.459,68.5,3.3,2
2019 0729,0442 18.0,19.299,-69.778,12,3,2
2019 0729,0605 24.3,19.632,-67.312,31,3.6,
2019 0729,0724 24.3,18.461,-69.176,130.6,3,2.1
2019 0729,1056 32.5,18.147,-66.702,25.8,2.7,
2019 0729,1705  6.6,19.027,-70.19,12,2.9,2.1
2019 0729,1849 52.7,18.125,-71.962,55.9,2.5,1.7
2019 0729,1909 43.0,18.602,-69.133,117.2,3.2,2.5
2019 0729,2030  9.3,18.814,-70.364,114.4,3,2.4
2019 0729,2118  9.3,18.982,-69.861,19.5,2.7,2.4
2019 0730,0257 54.2,18.407,-68.215,179.5,3,2.1
2019 0730,0607 15.1,18.062,-71.19,4.1,2.6,2
2019 0730,0811  4.2,19.13,-69.539,32.5,2.7,3.1
2019 0730,0810 44.1,19.124,-69.549,20.4,2.2,2.8
2019 0730,1102 10.3,19.128,-69.543,30,2.6,2.5
2019 0730,1134 55.2,18.176,-72.77,15,3.3,3.2
2019 0730,1230 29.8,19.107,-69.568,21.7,3,2.3
2019 0730,1305 31.0,19.096,-69.552,19.8,3.5,3.1
2019 0730,1532  4.3,18.38,-72.608,23.1,3.3,2.5
2019 0730,1635 13.1,19.122,-69.556,22.8,3.7,3.4
2019 0730,2002 13.9,19.14,-69.673,90.3,3.5,3.5
2019 0731,0633 15.4,18.241,-67.757,22.8,3,1.9
2019 0731,1632 29.0,19.017,-70.135,12.1,2.7,1.9
2019 0731,1658 32.3,19.167,-69.356,53.7,2.8,2
2019 0731,1701 35.2,18.795,-69.438,113.2,2.9,2.6
2019 0731,2114 51.4,19.413,-67.805,11.1,3.5,3.2
2019 0731,2206 16.1,20.653,-71.817,31.1,3.3,2.5
2019 0731,2221 12.9,17.671,-68.866,28.3,3.4,2.4
2019 0731,2338  2.8,19.028,-69.422,11.3,3.2,2.5
2019 0801,0048 16.5,19.491,-67.812,19.9,3.5,3.5
2019 0801,0101  8.4,20.167,-67.781,21.2,3.7,3.4
2019 0801,0633 35.7,18.526,-70.362,21.1,3.1,1.9
2019 0801,0734 41.5,18.555,-70.298,12.6,2.8,1.8
2019 0801,1517 44.4,19.77,-67.884,180.2,3.4,2.9
2019 0801,1537 26.5,17.791,-66.226,23,3.4,3.3
2019 0801,1925 19.5,19.234,-69.831,16.5,3,2.4
2019 0801,2100 32.2,18.58,-70.294,12.1,2.7,1.8
2019 0802,0536 14.7,19.212,-67.869,20.9,3.1,2.3
2019 0802,0538 17.2,19.425,-67.832,21,3.5,2.8
2019 0802,0723 17.2,18.988,-70.792,84.2,3,2.3
2019 0802,1030 48.3,18.087,-71.589,28.4,3.2,2.8
2019 0802,1255 27.3,18.536,-71.987,20.3,3,2.2
2019 0802,1350 12.0,19.714,-70.615,22.9,3,2.7
2019 0803,0328 38.0,19.103,-70.673,23.2,2.7,2.5
2019 0803,0333 37.0,18.253,-69.086,15,2.7,2.3
2019 0803,0337 53.2,17.941,-68.44,73.8,3,1.9
2019 0803,0920  6.1,20.192,-70.201,11.6,3.2,2.3
2019 0803,1305 31.7,18.4,-69.047,114.4,2.8,2.4
2019 0803,1734 23.5,18.544,-71.885,41.2,2.7,1.8
2019 0803,1805 53.2,19.336,-68.137,20.2,3.1,2.4
2019 0803,1951  2.3,18.354,-71.902,28.8,3.2,2.7
2019 0803,2038 26.5,19.122,-67.997,23,3.3,2.9
2019 0803,2258 32.8,19.466,-67.874,25.5,3.2,2.3
2019 0803,2314 17.7,18.632,-71.686,15,2.8,2.4
2019 0803,2315 25.2,18.675,-71.618,2.3,2.5,1.8
2019 0804,0151 54.7,18.871,-68.064,23,3.2,2.4
2019 0804,0158 59.4,18.632,-71.676,26.5,2.9,1.7
2019 0804,0419 30.4,19.894,-71.36,27.5,3.1,2.2
2019 0804,0426 35.8,19.897,-71.144,23.2,3.2,2.2
2019 0804,1154 41.2,18.016,-68.054,36.2,3.2,2.1
2019 0804,1852 19.9,19.52,-68.635,24.6,3.5,3
2019 0804,2218  5.9,18.269,-68.007,105.3,3.1,2.5
2019 0804,2243 32.8,19.009,-72.254,23.5,3.2,2.6
2019 0804,2355 53.5,19.416,-67.798,22.1,3.3,2.2
2019 0805,0034 16.0,19.675,-74.202,65.5,3.8,4.3
2019 0805,0056 43.2,18.564,-73.732,31.2,3.7,3.5
2019 0805,0347 35.4,19.566,-64.175,146.8,3.9,3.1
2019 0805,0405 23.8,18.69,-69.665,52.7,2.5,2.1
2019 0805,0405  1.5,19.392,-69.704,49.5,3.1,2.2
2019 0805,0455 12.6,19.251,-67.154,22.8,3.5,2.6
2019 0805,1219 22.0,19.356,-69.607,31,2.5,2.3
2019 0805,1301 41.0,18.999,-70.484,98.2,3.2,2.5
2019 0805,2241 13.6,19.571,-65.998,25.1,3.6,
2019 0806,0308 26.2,18.145,-70.737,15,2.8,1.9
2019 0806,0400 21.8,18.19,-72.07,16.1,2.7,2.1
2019 0806,1120 33.5,19.2,-68.377,22.9,3.7,3.4
2019 0806,1327  3.4,18.565,-65.882,106.2,3.4,2.9
2019 0806,1619  4.7,18.399,-66.499,12,3,1.6
2019 0806,1715  6.3,19.718,-68.099,23.4,3.4,2.3
2019 0806,2236 38.7,19.109,-69.472,22.7,3,2
2019 0806,2346  8.3,19.637,-74.176,31.2,3.8,
2019 0807,0159 12.1,17.712,-68.79,15,3.2,2.6
2019 0807,0543 13.6,18.067,-68.418,103.9,3,2.2
2019 0807,0550 44.9,19.108,-66.879,191.4,3.2,2.5
2019 0807,0800 22.7,19.693,-70.644,5.2,2.6,2.3
2019 0807,0810 58.7,18.497,-71.083,50.1,2.9,1.8
2019 0807,0824  3.8,18.783,-69.506,36.4,2.6,2.1
2019 0807,1231  8.7,18.693,-66.871,28.8,2.5,2
2019 0807,1602 22.2,19.895,-70.466,18.4,3.1,2.3
2019 0807,1826 56.3,18.634,-71.683,23,3.1,2.1
2019 0807,1848 55.9,19.863,-70.534,23,3.2,2.1
2019 0807,1911  7.9,19.19,-69.814,22.9,2.8,2.2
2019 0807,2019 11.1,19.87,-70.408,11.9,3.2,2.4
2019 0807,2113 20.6,19.939,-70.415,12,3.2,2.2
2019 0807,2340 41.6,18.095,-70.802,22.9,3.1,1.7
2019 0808,0601 19.8,18.652,-71.739,26.6,3.5,2.5
2019 0808,0605 34.2,19.213,-68.913,28.9,3.2,2.6
2019 0808,0835 44.1,18.888,-69.437,95.4,3.1,2.4
2019 0808,0902 33.9,18.507,-72.125,10,2.8,1.8
2019 0808,1205 46.8,19.712,-69.895,10,2.7,2.2
2019 0808,1652  4.5,18.283,-68.989,195.8,3.6,3.9
2019 0809,0238  6.2,18.293,-67.993,64.9,3.2,1.9
2019 0809,0319 40.1,19.707,-69.796,12.2,3,1.9
2019 0809,0405  9.6,19.857,-71.927,5.8,3,1.7
2019 0809,0501 14.4,18.413,-69.104,99.4,3.7,3
2019 0809,0941 47.7,19.274,-69.111,13.4,3.2,2.1
2019 0809,1421 40.0,19.88,-65.657,23.1,4.3,3.8
2019 0809,2043 52.1,19.221,-69.729,19.2,2.8,1.6
2019 0810,0435  3.1,18.694,-68.947,109.2,3.2,2.5
2019 0810,0448 17.8,18.312,-68.848,159.4,3.4,2.7
2019 0810,0602 30.6,18.365,-67.983,75.3,3,2.2
2019 0810,0635 42.4,19.09,-66.993,31.2,3.1,2.2
2019 0810,0648 19.9,19.137,-66.91,29.1,3.1,2.1
2019 0810,0716  9.7,19.34,-69.568,22.9,2.8,2.1
2019 0810,0831 23.5,18.004,-62.522,170.7,,3.9
2019 0810,0905 45.8,19.406,-69.551,22.4,3,2.9
2019 0810,0927 35.6,19.302,-69.574,22.8,2.8,2.3
2019 0810,1605  1.1,19.483,-67.912,21.1,3.3,2.1
2019 0810,1714 10.0,19.097,-70.254,59.9,3,1.9
2019 0810,1747 44.4,18.588,-68.339,159.7,3.2,2.2
2019 0810,2043 52.8,19.909,-69.827,0,3.2,2.2
2019 0811,0204 49.4,19.876,-70.771,12.2,3.3,2.5
2019 0811,1251 21.5,19.173,-67.982,11.6,3,1.5
2019 0811,1350 26.3,18.942,-70.341,81.1,2.9,2.3
2019 0811,1556  5.7,19.373,-67.222,25.3,3,1.9
2019 0811,1951 33.0,17.925,-71.601,22,3.1,3
2019 0811,2134 50.4,17.936,-71.505,24.8,2.8,1.9
2019 0811,2210 15.3,17.964,-71.633,15,3,2.1
2019 0812,0050  7.3,17.745,-68.604,83.7,3.2,2.3
2019 0812,0114 40.2,18.683,-69.968,74,3.2,2
2019 0812,0309 43.4,20.014,-69.557,82.4,3,2
2019 0812,0330 24.9,18.619,-69.487,86.4,3.1,2.2
2019 0812,0838  6.6,19.253,-68.349,22.2,3.2,1.9
2019 0812,1258 18.2,19.308,-70.923,142.3,2.8,2.2
2019 0812,1313 27.2,19.174,-67.603,22.8,3.5,3.3
2019 0812,1405 34.3,19.365,-68.911,21.9,2.8,1.9
2019 0812,1407 11.0,19.148,-68.982,29.3,2.5,1.4
2019 0812,1415 56.7,18.294,-68.704,160.8,3.2,2.7
2019 0812,1854 31.4,18.467,-70.375,27.5,3,2.1
2019 0812,2320 40.0,18.764,-69.103,136.5,3.3,2.9
2019 0813,0015 36.2,19.461,-69.294,31.2,2.8,1.6
2019 0813,0026 54.4,17.554,-68.149,78.6,3.5,2.2
2019 0813,0136 40.0,18.11,-70.686,22.7,3,2
2019 0813,0332 13.8,18.414,-72.873,28.7,3.1,2.2
2019 0813,0340  1.1,19.157,-66.595,39.7,3.1,
2019 0813,0526 18.6,19.605,-70.804,15,3,2.1
2019 0813,0757 49.4,19.172,-67.6,22.7,3.3,2.2
2019 0813,1002 27.2,19.042,-68.234,38.4,2.7,2
2019 0813,1037  1.7,17.962,-68.459,75.5,2.8,2.4
2019 0813,1259 39.6,18.528,-69.029,138,3.1,2.6
2019 0813,1704  9.0,18.382,-66.605,0,2.8,
2019 0813,1704 56.0,18.971,-70.142,12.1,2.6,1.9
2019 0813,1732 20.9,19.842,-70.977,19.7,2.8,2.3
2019 0813,1751 32.1,19.289,-73.536,18.2,3.2,2.2
2019 0813,2140  0.0,,,,,
2019 0813,2227 30.7,19.59,-70.748,23,3.3,3.1
2019 0814,0010  1.9,18.233,-72.034,12.2,3.3,2.8
2019 0814,0022 12.2,18.289,-72.076,0.5,2.9,2
2019 0814,0326 18.6,18.378,-72.01,6.6,3.2,2.7
2019 0814,0422 36.7,18.375,-72.026,13.8,2.6,1.9
2019 0814,0436 46.8,18.554,-72.108,18.5,2.9,2.2
2019 0814,0544 20.7,18.359,-72.062,15,2.6,1.9
2019 0814,0629 59.4,18.347,-72.003,5.3,3.1,2.3
2019 0814,1312 57.4,18.454,-72.075,12.9,2.8,2.3
2019 0814,1555 39.7,19.807,-72.051,14.8,2.8,2.3
2019 0814,1732 51.6,18.962,-64.034,105.5,4,3.2
2019 0815,0343 45.1,18.785,-69.649,84.2,3,2.1
2019 0815,634 19.8,17.69,-70.07,15,3.3,2.3
2019 0815,721 12.7,18.685,-69.785,109.7,3,2.4
2019 0815,848  2.5,19.706,-70.891,31,3.2,2
2019 0815,10 8  2.1,19.548,-70.075,1,3.4,2.2
2019 0815,1158  0.8,18.239,-68.31,171.8,3.4,2.8
2019 0815,1642 52.6,18.005,-68.483,82.8,3.2,2.9
2019 0816,0414 22.0,18.75,-69.381,108.4,3.1,2.6
2019 0816,0521 21.8,18.853,-71.594,39.8,2.9,2
2019 0816,0528 29.8,18.669,-71.743,33.9,2.9,2.3
2019 0816,0754 36.8,18.166,-68.566,54.9,2.7,2
2019 0816,0929  1.6,18.803,-67.924,91.6,3,2.3
2019 0816,1643 27.7,17.974,-68.642,152.9,3.2,2.6
2019 0816,2116 17.2,18.092,-68.387,119.6,3.4,2.3
2019 0816,2146 21.5,18.273,-72.027,0.9,2.9,1.8
2019 0816,2331 35.0,18.773,-70.364,113.8,3.3,3.1
2019 0817,0130  7.0,17.946,-68.731,92.6,3.1,1.9
2019 0817,0257 14.6,17.963,-66.596,23.1,2.6,2.1
2019 0817,0516 52.2,18.7,-65.764,29.8,3,2.4
2019 0817,0616 22.6,18.682,-71.933,13.6,2.7,2
2019 0817,1223 31.8,19.689,-70.06,9.8,3.2,2.4
2019 0817,1351 18.2,19.015,-65.278,31.1,3.4,2.4
2019 0817,1509 25.1,18.937,-67.246,29.1,3.1,2
2019 0817,1926 11.5,17.776,-69.356,30.9,3,2.1
2019 0817,1947 49.9,20.028,-73.325,18.6,3.7,3.6
2019 0818,0220 56.3,19.471,-70.416,22.7,3.5,3.1
2019 0818,0301 53.6,19.395,-70.394,23,3.2,2.3
2019 0818,1445 47.6,18.045,-70.391,15,2.3,2
2019 0818,2040 49.7,20.135,-70.248,22.9,3.4,2
2019 0819,0045 42.1,17.216,-69.94,67.8,3.3,
2019 0819,0149 37.6,18.282,-68.337,85.1,3.1,2.1
2019 0819,0256 10.3,18.687,-69.668,118.9,3.1,2.4
2019 0819,0311  7.6,18.466,-71.983,24.2,2.7,1.8
2019 0819,0528 33.5,18.517,-68.912,145.8,3.5,3.1
2019 0819,1311 58.3,18.789,-68.135,31.1,2.9,1.8
2019 0819,1553 45.0,19.46,-69.873,12.1,2.8,2.3
2019 0819,1636 54.9,19.282,-70.606,66.4,2.6,1.7
2019 0819,1914 34.3,18.254,-71.75,30.2,2.8,1.7
2019 0819,2145 13.2,18.47,-70.314,37.9,2.7,2.1
2019 0819,2145 13.3,18.45,-70.353,37.4,2.7,1.9
2019 0819,2254 42.1,19.235,-70.009,16.2,2.9,2.1
2019 0819,2257  0.0,19.255,-69.99,23.3,2.9,1.9
2019 0820,0348  9.2,19.318,-70.147,23,3.1,2.5
2019 0820,0401 46.5,20.373,-73.37,38.7,3.8,3.1
2019 0820,0855 19.8,18.254,-71.148,57.6,3,2.1
2019 0820,1029 22.0,19.319,-69.654,51.3,1.9,1.7
2019 0820,1738 55.6,19.035,-70.196,12.1,2.6,2
2019 0820,1827 46.3,19.228,-69.632,89.5,3.2,2.9
2019 0821,0826 54.9,18.091,-67.828,42.6,3.1,1.8
2019 0821,0855 58.7,18.655,-71.228,23.3,2.8,1.6
2019 0821,0907 31.7,19.777,-71.147,23,3.5,3.1
2019 0821,1359 10.5,19.069,-71.267,195.2,3.6,2.3
2019 0821,1518 17.5,18.603,-68.931,126,3.3,2.7
2019 0821,1752 26.7,18.838,-70.156,12.9,2.8,1.9
2019 0821,1811 22.5,19.75,-71.418,22.5,3.1,1.7
2019 0822,0015 18.3,19.22,-70.08,23.1,3.3,3.5
2019 0822,0018  7.6,19.247,-70.145,17.5,2.6,2.3
2019 0822,0018 59.4,19.199,-70.119,17.2,3.1,2.3
2019 0822,0320 47.9,19.116,-67.58,10.5,3.2,2
2019 0822,0339  3.4,18.414,-71.99,21.9,2.8,1.7
2019 0822,0539 19.4,18.086,-71.607,11.9,3,1.8
2019 0822,0853 11.9,17.915,-68.466,64.3,3.3,2.7
2019 0822,1452  7.0,18.632,-68.023,146.9,3.2,2.6
2019 0822,1841 36.2,18.529,-70.374,27.1,2.8,2.3
2019 0822,2109 14.4,19.714,-70.698,23,3.3,2.7
2019 0822,2329 24.0,18.286,-68.492,145.8,3.4,2.5
2019 0823,0223 58.7,18.844,-69.489,119.8,3.1,2
2019 0823,0824 35.3,18.703,-71.842,27.6,2.7,1.6
2019 0823,1239 38.3,18.699,-68.872,124.5,3,2.3
2019 0824,0730 26.8,18.569,-69.138,98.8,3.2,2.7
2019 0824,1557 11.0,19.969,-72.505,15,3.3,3
2019 0824,1915  1.9,18.232,-67.138,25.6,2.5,1.4
2019 0824,2057 20.2,18.471,-69.051,134,2.9,2.6
2019 0824,2336 55.8,18.81,-70.418,106.6,2.8,2.6
2019 0825,0220 55.9,20.073,-70.956,23,3.5,2.3
2019 0825,0453 23.8,19.877,-71.196,31,3.4,2.5
2019 0825,0819 28.5,19.585,-69.734,86.3,3,2.6
2019 0825,1230 14.2,18.539,-72.081,0.5,2.8,2
2019 0825,1428 22.4,18.821,-70.391,12.2,2.3,2.1
2019 0825,1823 38.1,18.832,-70.948,54.2,2.7,2.1
2019 0825,1958 41.7,18.471,-69.896,109.3,2.9,2.6
2019 0826,114 11.5,18.243,-68.054,23.1,3.3,1.7
2019 0826,358 18.0,19.2,-69.933,23,2.6,2
2019 0826,4 2 29.3,19.236,-69.964,12,3,2.2
2019 0826,419 18.2,17.85,-68.897,40.3,3.3,1.8
2019 0826,0433 16.5,18.809,-73.316,15,3.6,
2019 0826,1713 42.1,19.76,-70.758,22.7,3.4,3
2019 0826,1930 39.4,19.645,-69.977,16.6,3.4,3
2019 0827,0308 50.9,18.652,-71.388,11.6,2.5,1.8
2019 0827,1756 36.6,19.889,-72.135,23,3.5,3.3
2019 0827,1822 11.0,17.937,-67.975,45.3,3.2,2.3
2019 0827,1850 26.3,19.078,-66.541,29.1,3.2,2.2
2019 0827,2138 14.5,18.075,-71.877,24.3,3.1,2.2
2019 0827,2311 24.2,18.522,-71.735,23.2,2.9,2.3
2019 0828,0243 57.4,18.458,-69.608,141.8,3.3,3
2019 0828,0312 27.3,20.12,-70.506,7.9,3.4,2.7
2019 0828,0451  2.1,19.284,-69.669,91,3.1,2.5
2019 0828,0556 10.7,19.405,-70.277,20.9,3,2
2019 0828,0651 51.0,19.07,-67.929,5,3.3,2.1
2019 0828,0940 24.2,18.185,-68.302,130.8,3.3,2.4
2019 0828,1838 35.0,19.405,-67.929,20.4,3.4,2
2019 0828,1849 15.6,19.423,-67.937,30.9,3.7,3.5
2019 0829,0020 27.1,18.846,-71.371,12.1,3,1.5
2019 0829,0109 51.2,18.554,-69.612,115.6,3.2,2.3
2019 0829,0152 47.4,19.636,-70.454,33.4,3,2.1
2019 0829,0547 24.7,20.262,-70.676,22.7,3,2.1
2019 0829,1119  8.7,18.609,-68.721,142.4,3.2,2.8
2019 0829,1213 35.2,18.429,-69.774,141,3.2,2.4
2019 0829,1315 54.1,19.216,-69.931,42.1,3,2.3
2019 0829,1350  8.4,19.25,-69.952,22.5,2.9,2.3
2019 0829,1756 34.2,19.446,-70.313,29,2.8,2.1
2019 0829,1758 26.8,19.56,-70.315,17.8,2.9,2.4
2019 0829,1758 27.4,19.475,-70.324,23.2,3,2.5
2019 0829,1923 54.1,19.518,-70.288,21.9,3,2.5
2019 0829,1926 22.9,19.475,-70.241,28.8,3.2,2.7
2019 0829,1944 37.1,19.494,-70.302,23,3.2,2.7
2019 0829,1952 55.9,19.507,-70.284,22.4,3.1,2.6
2019 0829,2051 41.7,19.465,-70.248,24,2.9,2.2
2019 0830,0039 46.1,19.452,-70.29,21,3.1,2
2019 0830,0404 20.8,19.349,-69.96,56.1,2.8,2.2
2019 0830,0445 24.5,18.999,-69.536,54.3,3.1,2.4
2019 0830,0449  3.8,19.489,-70.049,31,3,1.9
2019 0830,0520 12.7,19.13,-69.971,12,2.7,1.6
2019 0830,0551 38.0,18.77,-69.498,93.3,2.9,2
2019 0830,0908 19.3,19.294,-70.126,16.3,2.9,2.1
2019 0830,1019 53.3,19.549,-70.271,21.4,3.3,2.7
2019 0830,1025 31.2,19.407,-70.234,37.4,3,2.4
2019 0830,1325 25.7,19.626,-67.92,31.1,3.3,2.2
2019 0830,1721  1.3,18.984,-70.159,16.9,2.8,1.6
2019 0830,1724 46.8,18.905,-70.135,12.7,3,1.8
2019 0830,2338 54.6,19.377,-67.92,15,3.4,2.3
2019 0831,0142 47.2,18.149,-67.936,63.8,3.2,2.5
2019 0831,0246 33.4,18.301,-69.867,93.2,2.8,2
2019 0831,0338 45.5,18.357,-68.652,163.9,3.1,2.5
2019 0831,0451 44.3,18.775,-69.428,95.6,2.7,2.3
2019 0831,0827 57.2,18.515,-68.893,128.2,2.8,2.4
2019 0831,0845  9.4,18.677,-63.832,15,3.7,4.7
2019 0831,0945  8.1,18.194,-67.666,23.7,3.1,3.3
2019 0831,1017 59.3,18.208,-67.626,103.9,3,1.6
2019 0831,1147 35.6,19.134,-70.945,96.4,2.7,3.1
2019 0831,1506 38.7,17.621,-63.536,51.8,3.8,3.4
2019 0901,0328 45.0,18.175,-67.219,99.4,3,2
2019 0901,0333 41.2,18.514,-72.226,15,3.2,2.4
2019 0901,0431  9.6,18.199,-67.812,79.7,3.1,1.3
2019 0901,0634 59.3,18.112,-68.245,132.6,3.7,3.4
2019 0901,1510 40.2,18.423,-64.759,31.1,3.2,2
2019 0901,1655 57.5,18.01,-71.826,24.5,2.6,2.3
2019 0901,1935  5.4,18.745,-66.395,30.9,3.1,2.4
2019 0902,0153 55.5,19.25,-70.016,16.4,2.8,2.1
2019 0902,0158 30.3,19.258,-70.042,12,2.8,1.8
2019 0902,0353 41.8,19.078,-69.301,18.2,2.9,2.2
2019 0902,0356 46.4,19.019,-69.354,20.4,3.1,2.2
2019 0902,0413 59.3,19.262,-69.997,22.8,2.9,2.2
2019 0902,0519 43.3,18.995,-69.355,20.3,2.8,1.9
2019 0902,1417 19.8,18.718,-70.751,12.1,2.7,2
2019 0903,0108  6.9,18.823,-69.586,92.7,3.1,2
2019 0903,0416 55.7,18.588,-69.376,102.5,3.5,3.5
2019 0903,0740 50.7,19.898,-70.251,87.9,3,2.5
2019 0903,1437 58.6,18.85,-69.41,81.5,2.9,2.3
2019 0903,2310 50.0,,,,,
2019 0904,0318 11.0,20.415,-71.062,32.1,3.4,2.5
2019 0904,0542 38.5,18.425,-70.252,20,3.1,2.4
2019 0904,0642 15.6,19.278,-67.999,9.9,3.3,2.4
2019 0904,0854 47.5,19.343,-70.003,23,3,2.4
2019 0904,0900  7.4,19.304,-69.987,15.4,3.4,3.1
2019 0904,0931 18.5,18.053,-68.03,131.4,3.2,2.1
2019 0904,1413 55.7,19.26,-67.755,21.7,3.3,2.6
2019 0905,0119 30.7,19.984,-71.124,17.4,3.3,3
2019 0905,0933 27.5,18.135,-67.454,22.9,4.1,4.3
2019 0905,1041 14.0,19.196,-69.878,12.1,3.1,2.3
2019 0905,1144 33.4,19.264,-69.873,23,2.7,2.5
2019 0905,1210 34.1,19.955,-73.527,40.3,3.7,3.6
2019 0905,1417 36.3,20.375,-68.72,34.7,4,2.6
2019 0905,1629 48.1,18.559,-70.051,16,2.3,1.6
2019 0905,2048 44.0,18.358,-72.038,0,2.4,2.3
2019 0906,0912 14.8,17.718,-72.052,102.5,3.2,2
2019 0906,2153 42.5,19.427,-70.081,23.1,2.8,2
2019 0907,0124 12.5,19.718,-70.916,23,3.1,2
2019 0907,0916 20.5,18.717,-69.626,111.4,3.4,3
2019 0907,1738 44.0,19.093,-67.917,23,3.5,2.7
2019 0908,1133 52.5,19.172,-69.832,11.6,3.7,3.7
